30th Street Station[16],30th Street Station,"Airport Line
Chestnut Hill East Line
Chestnut Hill West Line
Cynwyd Line
Fox Chase Line
Lansdale/Doylestown Line
Manayunk/Norristown Line
Media/Elwyn Line
Paoli/Thorndale Line
Trenton Line
Warminster Line
West Trenton Line
Wilmington/Newark Line","Market–Frankford Line
Route 10
Route 11
Route 13
Route 34
Route 36
Amtrak:
Keystone Corridor
Northeast Corridor
New Jersey Transit:Atlantic City Line",CCP,Philadelphia (University City)
49th Street StationFFFF,49th Street Station,Media/Elwyn Line,Route 13,1,Philadelphia (Kingessing)
Airport Terminal A[18],Airport Terminal A,Airport Line,N/A,4,Philadelphia (Airport)
Airport Terminal B[19],Airport Terminal B,Airport Line,N/A,4,Philadelphia (Airport)
Airport Terminals C & D[20],Airport Terminals C & D,Airport Line,N/A,4,Philadelphia (Airport)
Airport Terminals E & F[21],Airport Terminals E & F,Airport Line,N/A,4,Philadelphia (Airport)
Allegheny[22],Allegheny,Manayunk/Norristown Line,N/A,1,Philadelphia (Swampoodle)
Allen Lane[23],Allen Lane,Chestnut Hill West Line,N/A,2,Philadelphia (West Mount Airy)
Ambler[24],Ambler,Lansdale/Doylestown Line,N/A,3,Ambler
Angora[25],Angora,Media/Elwyn Line,Route 34,1,Philadelphia (Angora)
Ardmore[26],Ardmore,Paoli/Thorndale Line,"Amtrak:
Keystone Corridor",2,Ardmore
Ardsley[27],Ardsley,Warminster Line,N/A,3,Ardsley
Bala[28],Bala,Cynwyd Line,N/A,2,Bala Cynwyd
Berwyn[29],Berwyn,Paoli/Thorndale Line,N/A,3,Berwyn
Bethayres[30],Bethayres,West Trenton Line,N/A,3,Bethayres
Bridesburg[31],Bridesburg,Trenton Line,N/A,2,Philadelphia (Bridesburg)
Bristol[32],Bristol,Trenton Line,N/A,4,Bristol
Bryn Mawr[33],Bryn Mawr,Paoli/Thorndale Line,N/A,2,Bryn Mawr
Carpenter[34],Carpenter,Chestnut Hill West Line,N/A,2,Philadelphia (West Mount Airy)
Chalfont[35],Chalfont,Lansdale/Doylestown Line,N/A,4,Chalfont
Chelten Avenue[36],Chelten Avenue,Chestnut Hill West Line,N/A,2,Philadelphia (Germantown)
Cheltenham[37],Cheltenham,Fox Chase Line,N/A,2,Cheltenham
Chester Transportation Center[38],Chester Transportation Center,Wilmington/Newark Line,N/A,3,Chester
Chestnut Hill East[39],Chestnut Hill East,Chestnut Hill East Line,N/A,2,Philadelphia (Chestnut Hill)
Chestnut Hill West[40],Chestnut Hill West,Chestnut Hill West Line,N/A,2,Philadelphia (Chestnut Hill)
Churchmans Crossing[41][b],Churchmans Crossing[41,Wilmington/Newark Line,N/A,4,"Christiana, Delaware"
Claymont[42],Claymont,Wilmington/Newark Line,N/A,4,"Claymont, Delaware"
Clifton–Aldan[43],Clifton–Aldan,Media/Elwyn Line,Route 102,2,Aldan/Clifton Heights
Colmar[44],Colmar,Lansdale/Doylestown Line,N/A,4,Colmar
Conshohocken[45],Conshohocken,Manayunk/Norristown Line,N/A,3,Conshohocken
Cornwells Heights[46],Cornwells Heights,Trenton Line,N/A,3,Cornwells Heights
Crestmont[47],Crestmont,Warminster Line,N/A,3,Crestmont
Croydon[48],Croydon,Trenton Line,N/A,3,Croydon
Crum Lynne[49],Crum Lynne,Wilmington/Newark Line,N/A,3,Crum Lynne
Curtis Park[50],Curtis Park,Wilmington/Newark Line,N/A,2,Sharon Hill
Cynwyd[51],Cynwyd,Cynwyd Line,N/A,2,Bala Cynwyd
Darby[52],Darby,Wilmington/Newark Line,Route 11,2,Darby
Daylesford[53],Daylesford,Paoli/Thorndale Line,N/A,3,Daylesford
Delaware Valley College[54],Delaware Valley College,Lansdale/Doylestown Line,N/A,4,Doylestown Twp.
Devon[55],Devon,Paoli/Thorndale Line,N/A,3,Devon
Downingtown[56],Downingtown,Paoli/Thorndale Line,"Amtrak:
Keystone Corridor",4,Downingtown
Doylestown[57],Doylestown,Lansdale/Doylestown Line,N/A,4,Doylestown
East Falls[58],East Falls,Manayunk/Norristown Line,N/A,1,Philadelphia (East Falls)
Eastwick[59],Eastwick,Airport Line,Route 36,1,Philadelphia (Eastwick)
Eddington[60],Eddington,Trenton Line,N/A,3,Eddington
Eddystone[61],Eddystone,Wilmington/Newark Line,N/A,3,Eddystone
Elkins Park[62],Elkins Park,"Lansdale/Doylestown Line [c]
Warminster Line
West Trenton Line",N/A,2,Elkins Park
"Elm Street, Norristown[63]","Elm Street, Norristown",Manayunk/Norristown Line,N/A,3,Norristown
Elwyn[64],Elwyn,Media/Elwyn Line,N/A,3,Elwyn
Exton[65],Exton,Paoli/Thorndale Line,"Amtrak:
Keystone Corridor",4,Exton
Fern Rock Transportation Center[66],Fern Rock Transportation Center,"Lansdale/Doylestown Line
Warminster Line
West Trenton Line",Broad Street Line,1,Philadelphia (Fern Rock)
Fernwood–Yeadon[67],Fernwood–Yeadon,Media/Elwyn Line,N/A,2,Upper Darby Twp./Yeadon[68]
Folcroft[69],Folcroft,Wilmington/Newark Line,N/A,2,Folcroft
Forest Hills[70],Forest Hills,West Trenton Line,N/A,3,Philadelphia (Somerton)
Fort Washington[71],Fort Washington,Lansdale/Doylestown Line,N/A,3,Fort Washington
Fortuna[72],Fortuna,Lansdale/Doylestown Line,N/A,4,Fortuna
Fox Chase[73],Fox Chase,Fox Chase Line,N/A,2,Philadelphia (Fox Chase)
Germantown[74],Germantown,Chestnut Hill East Line,N/A,1,Philadelphia (Germantown)
Gladstone[75],Gladstone,Media/Elwyn Line,N/A,2,Lansdowne
Glenolden[76],Glenolden,Wilmington/Newark Line,N/A,2,Glenolden
Glenside[77],Glenside,"Lansdale/Doylestown Line
Warminster Line",N/A,3,Glenside
Gravers[78],Gravers,Chestnut Hill East Line,N/A,2,Philadelphia (Chestnut Hill)
Gwynedd Valley[79],Gwynedd Valley,Lansdale/Doylestown Line,N/A,3,Gwynedd Valley
Hatboro[80],Hatboro,Warminster Line,N/A,3,Hatboro
